quando|cidade|pais|nascer_do_sol|por_do_sol|velocidade_vento|ang_vento|visibilidade|temperatura_min|temperatura_max|pressao|umidade|sensacao_termica|condicao_meteorologica|descricao|longitude|latitude
2021-09-21 19:19:24|Porangaba|BR|2021-09-21 06:02:58|2021-09-21 18:08:13|8.24|148|10000|18.06|18.06|1014|84|18.11|Clouds|nublado|-48.1353|-23.1599
2021-09-21 18:19:27|Dumont|US|2021-09-21 06:42:42|2021-09-21 18:55:18|0.45|117|10000|21.05|24.08|1024|77|23.17|Clouds|nublado|-73.9968|40.9407
2021-09-21 19:19:31|Manduri|BR|2021-09-21 06:07:42|2021-09-21 18:12:58|7.97|132|10000|23.58|23.58|1011|52|23.35|Clouds|nublado|-49.3219|-23.0033
2021-09-21 19:19:34|Nova Campina|BR|2021-09-21 06:06:03|2021-09-21 18:11:16|6.39|136|8875|15.01|15.01|1016|91|14.94|Clouds|nublado|-48.9054|-24.1225
2021-09-21 19:19:38|Ariranha|BR|2021-09-21 06:05:31|2021-09-21 18:10:52|4.24|237|10000|31.14|31.14|1007|18|29.13|Clouds|nublado|-48.7869|-21.1878
2021-09-21 19:19:41|Reginópolis|BR|2021-09-21 06:07:17|2021-09-21 18:12:36|2.27|273|10000|35.3|35.3|1007|18|33.15|Clouds|nublado|-49.2253|-21.8881
2021-09-21 19:19:45|Igaratá|BR|2021-09-21 05:55:03|2021-09-21 18:00:18|3.97|146|10000|16.58|20.04|1018|86|18.39|Clouds|nublado|-46.1561|-23.2044
2021-09-21 19:19:48|Herculândia|BR|2021-09-21 06:11:56|2021-09-21 18:17:14|3.29|204|10000|31.5|31.5|1007|17|29.41|Clouds|nublado|-50.3853|-22.0036
2021-09-21 19:19:52|Euclides da Cunha Paulista|BR|2021-09-21 06:20:46|2021-09-21 18:26:04|7.74|206|10000|33.48|33.48|1008|25|31.92|Clouds|nublado|-52.5928|-22.5545
2021-09-21 19:19:55|Terra Roxa|BR|2021-09-21 06:10:33|2021-09-21 18:15:47|3.29|153|10000|27.49|27.49|1010|36|27.02|Clouds|nublado|-50.0314|-23.8557
2021-09-21 19:19:59|Salto Grande|BR|2021-09-21 06:10:21|2021-09-21 18:15:37|1.59|296|10000|32.36|32.36|1007|20|30.32|Clouds|nublado|-49.9856|-22.8928
2021-09-21 19:20:02|Palmeira d'Oeste|BR|2021-09-21 06:13:24|2021-09-21 18:18:47|1.73|186|10000|32|32|1007|15|29.79|Clouds|algumas nuvens|-50.7619|-20.4158
2021-09-21 19:20:06|Iaras|BR|2021-09-21 06:07:03|2021-09-21 18:12:19|5.05|146|10000|33.82|33.82|1010|43|35.9|Clouds|nublado|-49.1594|-22.8743
2021-09-21 17:20:09|Cedral|MX|2021-09-21 07:31:23|2021-09-21 19:40:28|3.64|73|10000|28.76|28.76|1013|24|27.4|Clouds|nuvens dispersas|-100.7333|23.8
2021-09-21 19:20:13|Urânia|BR|2021-09-21 06:12:55|2021-09-21 18:18:19|0.9|202|10000|31.64|31.64|1007|15|29.48|Clear|céu limpo|-50.6431|-20.2461
2021-09-21 19:20:16|Rafard|BR|2021-09-21 06:00:31|2021-09-21 18:05:47|10.77|148|10000|20.95|20.95|1014|77|21.11|Clouds|nublado|-47.5269|-23.0117
2021-09-21 19:20:20|Bálsamo|BR|2021-09-21 06:08:41|2021-09-21 18:14:03|2.7|215|10000|34.95|34.95|1008|17|32.68|Clouds|algumas nuvens|-49.5807|-20.7344
2021-09-21 19:20:23|Paulo de Faria|BR|2021-09-21 06:07:57|2021-09-21 18:13:20|2.13|272|10000|33.61|33.61|1007|14|31.2|Clear|céu limpo|-49.3999|-20.0296
2021-09-21 19:20:27|Neves Paulista|BR|2021-09-21 06:08:54|2021-09-21 18:14:16|2.54|208|10000|34.95|34.95|1007|17|32.68|Clouds|nuvens dispersas|-49.6358|-20.843
2021-09-21 19:20:30|Dobrada|BR|2021-09-21 06:03:57|2021-09-21 18:09:17|2.97|228|10000|31.68|31.68|1007|19|29.64|Clouds|nublado|-48.3939|-21.5167
2021-09-21 19:20:34|São José da Bela Vista|BR|2021-09-21 06:00:55|2021-09-21 18:06:17|1.06|34|10000|33.98|33.98|1008|19|31.85|Clouds|nuvens dispersas|-47.64|-20.5931
2021-09-21 19:20:37|Dourado|BR|2021-09-21 06:03:40|2021-09-21 18:08:58|8.49|155|10000|27.64|27.64|1009|44|27.62|Clouds|nublado|-48.3175|-22.1
2021-09-21 19:20:41|Santa Lúcia|BR|2021-09-21 06:02:43|2021-09-21 18:08:02|2.37|220|10000|34.01|34.01|1007|21|32.07|Clouds|nublado|-48.0842|-21.685
2021-09-21 19:20:44|Vista Alegre do Alto|BR|2021-09-21 06:04:53|2021-09-21 18:10:14|3.91|229|10000|31|31|1007|18|29.01|Clouds|nublado|-48.6292|-21.1706
2021-09-21 19:20:48|Pereiras|BR|2021-09-21 06:01:12|2021-09-21 18:06:29|7.47|156|10000|28.79|28.79|1012|67|31.77|Clouds|nublado|-47.7|-22.3667
2021-09-21 19:20:51|Cristais Paulista|BR|2021-09-21 06:00:03|2021-09-21 18:05:25|0.3|46|10000|28.21|28.21|1009|21|26.91|Clouds|algumas nuvens|-47.4209|-20.4036
